"","Sample ID","Analyte","Vista","Eurofins","diff","percent_diff"
"286","JBA110-SW-EXIT-06232021","PFPeS",62.3,74,-11.7,-17.1680117388114
"287","JBA110-SW-EXIT-06232021","PFHpA",63.9,63,0.899999999999999,1.41843971631205
"288","JBA110-SW-EXIT-06232021","PFHxS",702,660,42,6.16740088105727
"289","JBA110-SW-EXIT-06232021","6:2 FTS",181,160,21,12.316715542522
"290","JBA110-SW-EXIT-06232021","PFOA",219,260,-41,-17.1189979123173
"291","JBA110-SW-EXIT-06232021","PFHpS",18.9,23,-4.1,-19.5704057279236
"292","JBA110-SW-EXIT-06232021","PFNA",10.1,18,-7.9,-56.2277580071174
"293","JBA110-SW-EXIT-06232021","PFOSA",7.01,5.7,1.31,20.6136900078678
"294","JBA110-SW-EXIT-06232021","PFOS",799,840,-41,-5.00305064063453
"295","JBA110-SW-EXIT-06232021","8:2 FTS",4.97,7.8,-2.83,-44.3226311667972
"296","JBA047-SW-SPILL-033021","PFDA",NA,1.3,NA,NA
"297","JBA047-SW-SPILL-033021","8:2 FTS",NA,6.2,NA,NA
"298","JBA048-SW-RIPP-033021","PFDA",NA,1.5,NA,NA
"299","JBA049-SW-DOWN-033021","PFDA",NA,1.2,NA,NA
"300","JBA050-SW-EXIT-033021","PFDA",NA,1.3,NA,NA
"301","JBA057-SW-SPILL-040721","PFDA",NA,1.1,NA,NA
"302","JBA057-SW-SPILL-040721","4:2 FTS",NA,4.1,NA,NA
"303","JBA058-SW-RIPP-040721","PFDA",NA,1,NA,NA
"304","JBA058-SW-RIPP-040721","4:2 FTS",NA,4.1,NA,NA
"305","JBA059-SW-DOWN-040721","PFDA",NA,1.1,NA,NA
"306","JBA059-SW-DOWN-040721","4:2 FTS",NA,4.9,NA,NA
"307","JBA060-SW-EXIT-040721","PFDA",NA,1.1,NA,NA
"308","JBA077-SW-SPILL-042221","PFDA",NA,1.1,NA,NA
"309","JBA077-SW-SPILL-042221","4:2 FTS",NA,5,NA,NA
"310","JBA078-SW-RIPP-042221","PFDA",NA,1.6,NA,NA
"311","JBA078-SW-RIPP-042221","4:2 FTS",NA,4.3,NA,NA
"312","JBA079-SW-DOWN-042221","PFDA",NA,1.4,NA,NA
